@relation donations

@attribute sequence_number   numeric
@attribute customer_id       numeric
@attribute 2008_ospital      numeric
@attribute 2009_Q1_hospital  numeric
@attribute 2009_Q2_hospital  numeric
@attribute 2009_Q3_hospital  numeric
@attribute 2009_Q4_hospital  numeric
@attribute mail_campaigns    numeric
@attribute phone_campaigns   numeric
@attribute email_campaigns   numeric
@attribute american_cancer   numeric
@attribute red_cross         numeric
@attribute ms_society        numeric
@attribute american_heart    numeric
@attribute save_the_children numeric
@attribute world_food        numeric
@attribute bloomberg         {0, 1}
@attribute better_home       {0, 1}
@attribute money             {0, 1}
@attribute new_yorker        {0, 1}
@attribute field_and_stream  {0, 1}
@attribute pc_world          {0, 1}
@attribute rolling_stone     {0, 1}
@attribute car               {0, 1}
@attribute class             {1, 2, 3, 4, 5, 6}

@data
37,10,0,8,17,3,9,1,0,1,22,90,31,75,1,75,1,1,1,0,1,0,0,1,2
38,161,42,11,25,38,108,0,0,2,130,150,140,60,140,40,1,1,0,1,1,1,1,1,3
39,43,26,93,30,9,128,0,1,2,17,9,9,24,16,23,0,1,0,0,0,0,0,0,3
40,51,203,163,213,32,122,0,0,0,56,63,0,59,76,62,1,0,0,1,0,0,0,0,4
41,34,94,18,103,33,99,2,2,0,1,26,12,27,24,30,0,1,1,1,0,1,1,0,3
42,75,138,136,153,34,77,0,1,2,34,47,46,6,14,37,0,1,1,1,1,0,0,0,4
43,18,11,4,4,14,12,1,0,0,14,20,3,32,62,42,0,1,1,1,0,1,1,0,3
44,165,183,187,79,136,99,1,2,1,14,18,14,5,13,18,1,0,0,1,0,1,1,0,4
45,62,62,142,44,31,140,1,1,2,2,8,3,4,41,31,0,1,1,0,1,0,1,1,3
46,18,30,10,20,3,19,1,2,1,42,5,86,15,86,87,0,1,0,0,0,0,1,0,3
47,16,24,8,18,10,15,0,1,1,58,25,56,45,57,44,0,1,0,0,0,0,0,1,3
48,2,14,11,7,11,5,1,2,2,44,17,5,42,84,85,0,1,0,1,1,1,0,1,3
49,125,15,112,63,65,34,2,2,0,25,82,71,7,7,83,0,1,0,0,0,1,1,1,3
50,52,26,34,36,35,33,0,2,1,27,29,21,23,27,35,1,1,0,0,0,1,0,0,3
51,0,7,42,37,44,10,1,1,2,53,38,18,17,34,50,1,1,1,0,0,0,1,1,3
52,103,77,81,95,142,56,1,2,2,4,8,9,9,5,12,1,0,0,1,0,1,1,1,4
53,147,76,149,37,3,179,2,1,1,6,5,2,9,9,0,1,0,1,0,1,1,0,1,4
54,187,191,135,233,26,210,0,1,1,30,36,10,4,18,27,1,1,0,0,1,0,0,0,4
55,6,5,15,6,8,4,2,0,1,0,3,3,2,0,0,1,1,0,0,1,0,1,0,2
56,189,101,114,145,86,32,2,2,1,2,10,52,10,22,62,0,0,1,1,0,1,0,0,4
57,56,164,100,150,77,40,1,0,1,1,22,25,12,18,29,1,1,0,1,0,1,0,1,4
58,125,174,125,31,146,112,1,1,0,16,28,19,0,41,32,0,0,0,0,1,1,1,1,4
59,13,193,103,50,226,177,2,1,2,38,27,17,47,43,43,0,1,0,0,0,1,1,1,4
60,132,44,129,76,110,58,0,1,0,7,9,15,2,16,16,1,1,0,1,1,1,1,0,4
61,163,96,156,75,13,48,1,0,0,49,44,31,40,59,25,1,0,1,1,1,1,0,0,4
62,60,4,20,42,50,32,2,2,0,11,0,8,9,11,4,1,1,1,0,1,0,1,1,3
63,40,46,54,55,22,5,2,1,0,19,30,34,41,21,22,0,0,1,0,1,0,1,1,3
64,29,57,48,126,71,105,0,0,1,18,9,9,9,18,9,1,0,1,1,0,1,1,0,3
65,104,40,52,99,19,103,2,2,0,2,3,14,4,21,20,0,1,1,1,0,0,1,1,3
66,33,13,37,37,19,30,0,1,0,8,0,8,6,6,4,1,1,1,1,1,0,1,0,3
67,32,0,11,1,29,15,2,1,0,62,40,16,3,20,3,1,0,0,0,0,0,1,0,3
68,56,79,32,41,72,41,2,1,0,5,1,4,7,1,2,0,1,0,0,0,0,0,0,3
69,3,62,64,47,81,44,1,2,0,19,34,47,36,38,43,0,0,1,1,1,0,0,1,3
70,26,30,49,22,19,34,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,3
71,8,8,3,7,10,2,0,1,0,54,85,40,91,13,45,1,1,1,0,0,1,0,1,2
72,53,11,47,37,61,31,1,0,2,6,32,21,51,43,51,1,0,1,0,1,1,0,1,3
73,131,25,95,45,0,135,2,2,2,88,49,67,44,90,77,1,0,0,0,1,0,0,1,3
74,25,48,31,21,0,22,0,0,0,31,24,56,47,68,42,0,1,0,1,0,0,0,1,3
75,1,44,9,22,43,5,0,2,2,16,16,1,9,2,0,1,0,0,1,1,1,1,0,3
76,26,96,66,15,63,71,1,0,1,61,8,50,47,3,5,0,0,1,1,0,0,0,0,3
77,5,14,22,12,29,35,2,2,0,71,87,7,20,22,37,1,1,0,0,0,0,1,0,3
78,43,25,28,44,5,25,1,0,1,10,4,33,39,8,22,0,1,0,1,0,0,0,1,3
79,74,111,130,153,153,77,2,2,2,62,56,18,11,17,55,0,0,1,0,1,1,0,0,4
80,33,11,211,199,176,124,2,0,2,0,20,0,0,60,40,0,1,0,1,1,1,1,1,4
81,62,20,67,20,86,12,1,1,0,0,43,7,8,2,41,0,0,1,0,0,1,1,1,3
82,24,216,113,180,141,189,1,0,2,12,53,42,1,17,61,1,1,1,0,1,1,0,1,4
83,4,2,4,0,1,4,2,2,2,28,20,42,52,46,55,1,0,1,0,0,0,0,1,2
84,10,61,19,25,39,17,2,1,1,13,54,22,0,54,64,1,0,0,0,1,0,0,1,3
85,5,37,6,79,35,5,1,0,1,1,1,1,2,0,0,0,0,0,0,1,1,0,0,3
86,79,23,0,54,7,0,0,1,1,27,17,8,1,13,0,0,0,1,1,0,0,1,0,3
87,163,142,42,48,114,45,1,1,2,39,20,21,18,36,7,0,1,0,0,1,0,1,0,4
88,59,71,9,107,50,55,2,2,2,26,3,44,81,64,3,1,0,1,0,0,0,1,1,3
89,111,103,180,177,80,76,1,2,2,21,17,77,0,29,48,0,0,0,0,1,0,0,0,4
90,194,223,63,202,138,4,1,1,0,69,14,90,31,6,52,1,0,0,1,1,1,1,0,4
91,91,94,50,31,15,83,0,1,2,69,2,65,40,44,0,1,1,1,1,0,1,1,0,3
92,18,67,69,140,62,55,2,1,1,6,93,32,77,91,0,1,1,0,1,0,1,0,0,3
93,79,40,120,23,52,111,2,1,0,20,3,11,0,17,15,1,1,0,1,1,0,0,1,3
94,162,41,159,136,63,129,0,2,1,7,2,9,8,8,5,0,0,1,1,1,1,1,1,4
95,3,49,7,0,16,48,0,0,1,19,34,23,24,42,9,0,0,1,1,1,0,1,0,3
96,35,42,100,98,28,96,2,0,0,8,32,8,4,55,59,0,1,0,0,1,1,1,0,3
97,166,71,218,27,53,66,2,1,0,63,62,65,2,28,38,1,1,0,1,0,0,0,1,4
98,2,4,1,7,10,6,0,1,1,38,20,36,11,8,1,1,1,0,0,1,0,1,0,2
99,45,60,6,13,12,62,2,0,2,31,87,56,2,73,69,1,0,0,1,0,1,0,0,3
100,31,227,56,10,121,201,0,0,2,0,2,8,0,0,2,1,0,1,1,0,0,0,0,4
101,42,146,77,86,81,3,1,2,2,68,32,55,70,2,39,1,0,0,0,0,0,1,1,3
102,30,42,33,31,11,36,2,1,2,9,12,5,9,8,3,1,0,1,0,0,0,1,0,3
103,134,16,47,165,78,179,1,2,1,33,30,27,36,12,30,0,0,0,0,1,1,0,1,4
104,3,89,42,5,32,88,1,2,1,4,1,4,4,2,2,0,1,1,1,1,1,0,0,3
105,81,62,114,118,13,50,2,0,1,3,0,2,8,5,11,1,1,0,1,0,0,1,1,3
106,210,117,170,199,222,174,1,1,0,45,75,72,56,39,40,1,0,1,0,1,1,0,0,5
107,164,96,93,97,99,110,1,0,1,17,30,36,24,27,1,0,1,0,1,0,1,0,1,4
108,40,97,2,185,30,203,2,0,0,21,80,62,49,59,80,1,1,1,0,0,1,1,1,4
109,168,21,31,154,87,154,2,0,0,11,5,15,15,11,14,1,0,0,1,1,1,1,0,4
110,32,31,1,13,58,26,0,2,0,5,5,3,6,4,4,1,0,0,0,0,0,0,0,3
111,82,7,24,37,3,3,2,0,0,68,66,39,23,26,80,0,0,0,0,1,0,1,1,3
112,215,69,28,235,121,42,1,0,2,35,0,20,33,37,8,0,1,0,0,1,1,0,0,4
113,48,87,183,61,137,37,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,4
114,100,128,3,7,58,31,1,1,2,28,28,39,42,1,22,0,1,0,1,0,1,1,0,3
115,116,10,138,6,12,67,2,2,0,5,15,20,7,18,10,1,0,0,1,0,1,1,0,3
116,113,12,59,146,110,133,2,1,2,12,12,42,15,30,8,0,0,0,1,0,0,0,0,4
117,6,6,3,7,4,6,1,1,1,2,8,17,7,18,2,1,1,0,0,0,0,1,1,2
118,116,37,138,18,25,68,0,2,1,73,53,52,26,24,2,0,0,0,1,0,1,1,0,3
119,161,105,234,183,77,222,1,1,0,0,17,8,17,34,19,1,0,1,0,0,0,1,0,4
120,216,77,157,101,124,153,1,1,2,4,23,53,33,17,17,1,0,0,0,0,0,0,1,4
121,32,139,41,75,127,79,0,1,1,0,17,1,15,3,9,0,1,0,1,0,0,1,1,3
122,4,2,2,5,10,7,1,1,1,58,54,4,32,7,54,0,1,1,1,1,0,1,0,2
123,35,21,44,96,23,76,0,0,1,1,10,4,15,0,0,1,0,1,0,0,1,0,1,3
124,2,4,1,6,2,3,1,2,0,64,65,69,9,49,8,0,1,1,0,1,0,0,0,2
125,167,4,88,76,98,206,2,1,1,74,1,37,4,32,20,1,1,0,1,0,1,1,1,4
126,68,4,120,77,161,0,2,2,0,19,25,11,17,21,29,0,1,0,0,1,1,0,1,3
127,84,221,95,71,199,221,0,2,2,0,10,11,51,63,11,0,0,0,1,1,0,0,0,4
128,55,47,79,93,56,111,2,2,2,61,93,4,94,93,53,1,1,1,1,0,1,1,1,3
129,46,100,105,66,2,16,0,2,1,35,58,11,22,50,32,1,0,1,1,0,1,1,0,3
130,34,85,43,19,27,82,0,2,2,18,22,11,24,24,9,1,0,1,1,0,0,1,1,3
131,95,92,8,227,0,207,2,1,2,13,11,6,2,6,3,0,1,1,1,1,0,1,0,4
132,2,13,2,8,8,5,1,0,1,45,9,34,74,75,17,1,1,0,0,0,0,0,0,2
133,8,0,39,88,18,89,1,2,2,13,1,7,11,7,4,0,1,0,1,0,1,1,1,3
134,10,59,11,55,8,127,0,0,2,66,87,65,45,87,30,0,1,0,0,0,0,0,1,3
135,21,196,220,115,104,179,0,0,0,88,70,58,65,26,21,1,0,0,0,1,1,1,1,4
136,23,30,47,16,8,46,1,1,0,6,1,7,16,45,7,0,0,0,0,0,0,1,0,3
137,224,12,241,5,72,66,0,0,0,37,26,2,45,41,25,0,1,0,0,0,1,1,0,4
138,12,12,26,24,0,29,1,1,2,28,32,1,11,30,32,1,0,0,0,0,0,0,0,3
139,17,21,62,42,32,13,2,1,2,7,16,27,36,31,53,1,0,1,0,0,0,1,1,3
140,29,20,5,12,17,11,2,1,0,6,6,28,5,42,2,1,1,0,0,0,1,0,0,3
141,136,175,143,112,112,71,0,0,0,11,5,18,16,21,11,0,0,1,1,0,1,1,1,4
142,154,1,39,183,152,2,0,2,0,8,3,9,4,7,9,1,0,1,1,0,0,0,1,4
143,28,17,80,65,67,57,1,1,0,30,42,14,27,11,52,0,1,1,0,1,1,1,0,3
144,143,178,98,76,125,206,0,1,2,62,55,35,56,79,49,0,0,1,0,0,0,1,0,4
145,140,15,126,12,23,81,2,0,2,6,29,17,11,7,28,0,0,0,1,1,0,1,1,3
146,109,44,9,14,112,106,1,2,2,24,11,61,45,38,43,0,1,0,1,0,0,1,0,3
147,94,60,92,6,73,108,2,1,0,54,45,52,56,46,55,0,1,1,0,0,1,1,0,3
148,16,2,39,6,6,42,0,1,0,26,33,11,37,13,38,1,0,1,1,1,0,1,0,3
149,89,39,64,145,126,133,1,0,0,12,13,2,14,5,6,0,1,0,0,1,1,0,0,4
150,11,54,35,49,57,35,1,1,0,33,26,31,14,68,35,1,1,0,1,0,0,0,0,3
151,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,2
152,52,125,27,143,19,69,0,0,2,7,10,2,6,2,0,0,0,0,1,0,0,1,1,3
153,0,0,0,0,1,0,2,2,0,4,1,3,0,4,2,0,0,1,0,1,0,0,1,2
154,81,39,14,36,109,89,0,1,2,40,4,92,31,62,60,0,0,1,1,1,1,0,1,3
155,58,91,1,84,56,9,0,0,0,23,15,6,8,19,5,0,0,1,0,1,0,0,0,3
156,12,57,1,48,34,55,0,2,2,14,30,15,18,20,32,0,1,0,0,0,0,0,0,3
157,131,95,26,89,75,4,2,0,0,16,17,9,13,3,14,1,1,0,0,1,1,1,1,3
158,20,105,39,111,60,5,2,1,0,35,44,27,44,14,10,0,1,0,1,0,1,0,0,3
159,63,89,27,9,36,4,2,0,0,14,4,11,22,15,11,0,1,0,1,1,0,0,1,3
160,5,17,1,8,11,4,1,0,0,41,34,42,59,17,40,1,0,0,0,1,0,1,0,2
161,12,45,17,74,15,78,0,0,1,29,14,36,17,22,45,1,0,1,1,0,0,1,0,3
162,0,32,3,7,16,1,2,2,2,9,7,65,57,38,63,0,1,0,1,0,1,0,1,3
163,0,0,0,1,0,0,1,1,0,0,4,0,0,4,3,1,1,0,0,0,1,0,0,2
164,73,10,49,37,5,64,2,0,2,18,14,0,11,12,6,0,0,0,0,1,1,1,0,3
165,79,61,62,131,124,24,0,2,2,35,56,25,43,42,40,1,0,1,1,0,0,0,1,3
166,57,0,12,1,20,27,2,0,2,45,53,32,73,74,47,1,1,1,0,1,0,0,0,3
167,25,19,23,8,22,26,1,2,0,4,8,24,15,27,0,0,1,0,0,0,1,0,0,3
168,225,21,90,80,170,243,1,0,1,22,20,87,5,18,9,1,1,1,0,1,0,0,1,4
169,40,110,124,0,0,136,0,2,1,9,9,9,6,4,10,1,1,0,0,0,1,0,0,3
170,5,25,134,101,149,102,0,2,1,14,47,52,69,30,18,0,1,0,0,0,0,1,0,4
171,93,97,37,197,60,12,0,0,2,3,1,2,1,3,4,1,1,1,1,1,0,0,0,3
172,118,51,17,4,114,11,2,2,1,20,5,59,42,43,88,0,0,1,1,1,0,0,0,3
173,144,126,14,93,86,142,1,0,0,54,0,2,24,42,11,0,1,1,1,1,0,1,1,4
174,41,25,30,20,33,29,1,2,0,25,6,19,7,23,25,0,0,0,0,0,0,1,0,3
175,211,74,12,131,148,127,1,1,2,9,14,14,13,2,16,1,0,1,1,1,0,0,0,4
176,24,60,82,66,148,28,0,0,2,1,11,11,48,29,47,1,0,1,1,1,0,1,0,3
177,18,2,6,13,20,3,2,0,2,5,7,44,64,24,13,1,0,1,1,0,1,0,0,3
178,37,18,72,48,54,52,2,2,0,62,74,74,42,17,20,1,1,0,0,1,1,1,0,3
179,93,84,54,86,14,104,1,2,0,1,0,1,14,13,13,0,0,0,0,1,0,1,0,3
180,24,19,5,36,14,18,2,1,0,3,33,15,6,15,1,1,0,0,1,1,1,1,1,3
181,60,65,119,32,141,135,1,2,1,24,7,30,5,33,31,1,0,0,0,0,0,1,0,4
182,166,88,151,136,168,174,1,0,1,1,11,8,7,1,7,0,0,1,1,1,1,1,1,4
183,70,73,31,99,6,3,0,0,2,7,14,16,24,25,22,1,1,0,0,1,0,1,1,3
184,162,75,43,39,120,47,2,0,0,36,38,5,32,18,52,1,1,1,1,1,0,1,0,3
185,2,3,4,5,6,7,1,0,1,29,10,28,13,9,29,1,1,1,0,1,0,1,0,1
186,32,99,56,86,101,111,2,0,0,1,0,3,2,6,4,1,1,1,0,0,1,0,1,3
187,182,56,155,48,38,136,1,0,2,25,24,6,4,30,4,0,0,0,1,0,0,1,0,4
188,17,5,26,34,29,19,0,2,1,20,20,49,23,57,51,1,1,0,0,1,0,0,0,3
189,72,107,102,32,12,42,1,2,2,14,5,3,14,15,1,0,0,1,1,1,0,0,1,3
190,17,1,25,24,19,41,0,0,2,0,11,12,3,12,17,1,0,0,1,0,1,0,1,3
191,29,140,122,84,120,119,0,2,1,10,32,6,15,7,34,0,1,1,1,1,0,0,1,4
192,114,30,98,13,47,130,0,1,0,24,26,35,57,22,21,1,1,1,1,1,0,0,0,3
193,0,111,104,77,63,25,1,0,0,53,56,6,47,55,48,0,1,0,0,0,0,0,1,3
194,16,75,97,108,6,28,1,1,1,4,36,56,71,19,66,1,0,0,0,0,0,0,1,3
195,61,42,159,32,117,198,0,0,0,47,8,0,59,14,58,0,0,0,1,0,0,0,1,4
196,17,26,20,11,5,23,0,1,2,46,14,63,44,2,9,0,0,0,1,0,1,1,0,3
197,122,65,34,151,153,56,1,0,1,6,17,2,13,12,20,0,0,1,1,1,0,0,0,4
198,152,132,185,57,67,83,1,1,0,23,28,2,31,7,7,1,0,1,1,1,0,1,0,4
199,13,5,4,8,10,14,0,2,2,10,14,12,15,0,13,1,0,0,0,0,1,0,0,3
200,51,0,71,7,86,85,0,1,1,30,10,20,40,0,10,1,1,1,0,0,1,1,1,3
201,175,114,169,66,23,73,0,2,2,10,42,38,27,29,30,0,1,0,1,1,0,0,1,4
202,9,11,3,1,11,6,1,0,2,2,17,57,35,50,36,1,0,1,0,1,0,0,1,2
203,6,8,10,10,9,10,2,0,1,19,13,21,9,11,19,1,1,0,1,1,1,1,1,3
204,53,27,65,50,73,35,1,0,1,11,2,5,2,12,1,1,0,1,1,1,0,0,0,3
205,49,138,35,19,72,180,2,2,2,15,16,6,20,20,5,0,0,0,1,1,1,1,0,3
206,126,203,63,145,10,125,0,1,2,9,3,10,8,7,13,0,1,0,1,1,1,0,0,4
207,20,49,20,2,18,78,1,1,0,11,37,3,40,18,10,0,0,0,1,1,1,0,1,3
208,64,116,139,24,10,133,2,1,2,24,14,8,19,2,14,1,1,0,1,1,0,0,1,3
209,52,6,50,97,78,171,0,2,2,5,2,5,9,7,8,0,0,0,0,0,0,0,1,3
210,98,124,11,13,121,77,0,0,0,2,3,3,4,4,3,0,0,0,0,0,0,0,0,3
211,91,52,6,88,94,31,1,1,0,16,56,42,32,65,31,1,0,1,0,0,1,1,0,3
212,94,54,33,80,42,24,1,0,0,42,69,28,80,32,15,1,0,0,1,0,0,0,0,3
213,135,120,5,99,134,2,1,1,2,30,38,14,30,20,1,0,0,1,0,0,0,1,1,3
214,83,71,95,156,149,30,1,2,0,81,25,62,69,15,44,0,1,0,0,1,0,1,1,4
215,116,163,103,207,15,108,1,0,0,35,49,45,29,17,48,1,1,0,0,0,0,0,0,4
216,47,129,49,37,38,75,0,1,2,41,18,37,42,37,21,0,0,1,0,0,0,1,0,3
217,23,7,7,22,9,8,1,0,2,4,68,54,23,66,59,0,1,0,0,1,0,0,0,3
218,170,15,39,131,176,25,1,0,1,67,55,52,75,20,31,1,1,1,0,0,0,0,1,4
219,38,83,53,34,80,94,2,0,0,7,49,24,42,1,5,1,1,1,0,1,1,0,1,3
220,40,94,93,62,94,39,1,1,0,38,39,40,61,42,10,1,0,0,0,0,0,1,1,3
221,9,6,24,20,25,6,2,2,1,11,12,7,39,34,24,0,0,1,1,0,0,0,1,3
222,68,144,87,11,75,112,2,2,0,50,45,30,26,39,23,0,1,0,0,0,0,1,1,3
223,4,9,10,7,2,5,2,0,0,28,47,59,49,46,24,0,0,0,1,1,0,0,0,2
224,0,15,17,0,11,5,1,0,1,22,0,6,16,4,7,0,0,1,1,1,1,1,0,2
225,82,20,4,35,47,167,1,0,0,39,13,1,33,40,9,0,1,0,1,1,0,0,0,3
226,200,201,2,103,69,151,1,0,1,34,0,11,31,11,34,1,1,0,0,0,1,1,0,4
227,1,71,44,5,77,38,2,0,2,1,3,15,15,10,14,0,1,1,1,1,1,0,1,3
228,21,12,76,69,0,71,2,1,2,7,6,8,5,33,22,1,0,0,1,0,1,0,0,3
229,184,65,19,39,41,159,0,2,1,2,3,0,1,1,2,1,0,1,0,0,0,0,1,4
230,185,112,200,190,32,110,2,1,2,30,36,28,22,22,30,1,0,0,0,1,0,1,0,4
231,12,7,32,37,18,29,1,0,2,17,28,36,13,14,32,0,0,0,0,0,1,1,0,3
232,18,22,45,26,51,52,2,0,0,16,15,17,24,9,12,1,0,0,1,1,0,1,0,3
233,106,74,134,120,37,121,2,0,1,19,34,18,17,24,45,1,1,1,1,1,1,0,1,4
234,90,101,70,9,8,115,1,2,2,92,64,6,71,54,36,0,1,1,1,1,1,0,0,3
235,12,12,1,12,6,3,1,0,0,54,45,37,28,59,18,0,0,1,0,0,1,0,1,2
236,41,126,63,74,161,30,0,2,0,43,7,36,20,41,6,1,1,0,0,0,0,0,1,3
237,89,52,60,5,81,1,1,1,0,53,38,18,30,6,20,1,1,1,0,1,1,0,1,3
238,61,25,8,71,59,14,1,1,0,53,39,33,51,40,22,1,1,1,0,1,0,0,0,3
239,125,3,117,179,174,1,1,0,2,0,15,4,4,11,77,0,0,1,1,1,1,1,1,4
240,27,63,45,62,88,91,2,0,2,0,0,0,0,0,0,1,0,1,0,1,1,0,1,3
241,44,107,54,52,33,70,0,2,1,39,31,48,55,58,9,0,1,1,0,1,1,1,0,3
242,156,126,164,131,212,151,1,2,2,33,0,25,34,33,31,1,1,1,1,1,0,1,1,4
243,17,76,98,30,84,127,0,1,0,8,35,55,4,18,58,1,1,0,0,1,1,0,0,3
244,155,160,24,74,133,74,1,2,2,57,4,59,6,3,72,0,1,1,0,1,1,0,1,4
245,167,2,58,166,94,164,1,0,0,41,65,25,32,9,20,0,1,0,1,1,0,1,1,4
246,16,33,7,1,20,26,2,1,1,55,23,69,17,46,26,1,1,0,1,1,0,1,1,3
247,58,35,8,31,36,0,0,1,1,0,44,3,12,32,24,1,1,0,0,1,1,1,0,3
248,3,58,42,99,9,69,0,1,2,2,10,18,20,23,32,1,0,1,1,0,1,0,1,3
249,5,28,22,11,14,9,0,0,1,12,33,68,44,51,20,1,1,0,0,0,0,0,1,3
250,28,61,40,6,45,44,1,1,0,25,10,19,7,2,24,0,0,0,0,1,0,0,1,3
251,11,28,14,0,10,0,1,1,2,4,46,40,15,49,3,1,1,0,0,0,1,0,0,3
252,122,199,211,107,111,178,0,2,0,33,66,22,286,99,110,1,0,1,0,0,1,1,1,4
253,10,20,13,15,21,35,2,1,1,31,41,26,21,15,35,0,1,0,0,0,1,0,1,3
254,180,70,7,99,118,126,1,0,1,29,35,34,21,51,12,1,0,1,0,0,0,1,0,4
255,123,129,75,43,89,22,2,0,0,26,24,13,33,6,18,0,0,1,0,0,1,1,0,3
256,59,93,55,60,108,21,1,1,2,11,69,7,26,23,15,0,1,1,1,0,0,1,1,3
257,91,92,153,54,42,113,1,0,2,11,17,15,17,26,5,1,0,0,0,0,1,1,1,4
258,20,24,4,12,21,19,2,0,0,17,9,18,21,22,16,0,1,0,0,0,0,1,1,3
259,43,5,74,98,66,2,0,0,1,49,9,6,6,34,90,0,0,1,0,0,0,1,0,3
260,25,13,35,46,80,27,1,1,0,65,41,67,86,37,70,1,1,1,1,0,0,1,0,3
261,114,52,140,208,44,27,0,0,1,2,8,5,11,1,2,1,1,1,0,1,1,0,0,4
262,19,61,54,34,19,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3
263,53,79,18,21,56,99,1,0,1,5,12,0,11,11,6,0,0,1,0,0,0,0,0,3
